kunde_id,segment,branche,groessenklasse,plz2,vertragsbeginn,vertragsende,verlustgrund,top30
K0313,Klein,C31 Möbel / Einrichtung,C (10-49 MA),74,2023-12-01,,,0
K0314,Klein,C20 Chemie / Farben,C (10-49 MA),73,2016-01-01,,,0
K0315,Klein,G47 Einzelhandel / E-Commerce,D (<10 MA),74,2015-01-05,,,0
K0316,Klein,G47 Einzelhandel / E-Commerce,D (<10 MA),74,2021-09-25,,,0
K0317,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),74,2016-05-27,,,0
K0318,Klein,F/G23 Baustoffhandel,D (<10 MA),71,2023-08-05,2025-11-18,Preis / Wettbewerb,0
K0319,Klein,G47 Einzelhandel / E-Commerce,C (10-49 MA),74,2022-06-10,,,0
K0320,Klein,C25 Metallverarbeitung,D (<10 MA),71,2022-06-12,,,0
K0321,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),74,2019-05-15,,,0
K0322,Klein,Sonstige,D (<10 MA),73,2020-05-16,,,0
K0323,Klein,C28 Maschinenbau,C (10-49 MA),74,2018-12-20,,,0
K0324,Klein,F/G23 Baustoffhandel,C (10-49 MA),74,2024-10-03,,,0
K0325,Klein,F/G23 Baustoffhandel,D (<10 MA),74,2022-01-13,,,0
K0326,Klein,C25 Metallverarbeitung,C (10-49 MA),71,2025-03-13,,,0
K0327,Klein,C25 Metallverarbeitung,D (<10 MA),74,2024-11-30,,,0
K0328,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),73,2021-01-02,,,0
K0329,Klein,C27 Elektro / Elektronik,D (<10 MA),74,2018-07-27,,,0
K0330,Klein,C28 Maschinenbau,D (<10 MA),71,2021-10-30,,,0
K0331,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),75,2023-06-27,2025-11-12,Preis / Wettbewerb,0
K0332,Klein,F/G23 Baustoffhandel,C (10-49 MA),74,2023-12-23,,,0
K0333,Klein,F/G23 Baustoffhandel,D (<10 MA),97,2015-11-03,,,0
K0334,Klein,C28 Maschinenbau,C (10-49 MA),74,2015-08-03,,,0
K0335,Klein,C29 Automotive-Zulieferer,C (10-49 MA),74,2022-10-06,,,0
K0336,Klein,C27 Elektro / Elektronik,C (10-49 MA),71,2017-10-05,,,0
K0337,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),73,2025-10-31,,,0
K0338,Klein,C28 Maschinenbau,C (10-49 MA),97,2021-08-02,2026-03-31,Standortverlagerung,0
K0339,Klein,F/G23 Baustoffhandel,D (<10 MA),71,2024-10-16,,,0
K0340,Klein,C29 Automotive-Zulieferer,C (10-49 MA),73,2017-08-04,,,0
K0341,Klein,G46 Großhandel Konsumgüter,D (<10 MA),71,2025-11-10,,,0
K0342,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),74,2015-08-19,,,0
K0343,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),71,2018-04-27,,,0
K0344,Klein,C28 Maschinenbau,C (10-49 MA),97,2024-04-23,,,0
K0345,Klein,C27 Elektro / Elektronik,C (10-49 MA),75,2023-09-24,,,0
K0346,Klein,C28 Maschinenbau,D (<10 MA),71,2023-01-25,,,0
K0347,Klein,C20 Chemie / Farben,C (10-49 MA),71,2020-08-21,,,0
K0348,Klein,G46 Großhandel Konsumgüter,D (<10 MA),97,2018-03-06,,,0
K0349,Klein,C28 Maschinenbau,D (<10 MA),69,2015-04-14,,,0
K0350,Klein,F/G23 Baustoffhandel,C (10-49 MA),74,2016-08-07,,,0
K0351,Klein,C20 Chemie / Farben,D (<10 MA),74,2022-02-21,2025-04-07,Standortverlagerung,0
K0352,Klein,C20 Chemie / Farben,C (10-49 MA),69,2016-08-09,2025-12-28,Preis / Wettbewerb,0
K0353,Klein,C29 Automotive-Zulieferer,C (10-49 MA),74,2022-04-11,2025-09-21,Standortverlagerung,0
K0354,Klein,C28 Maschinenbau,C (10-49 MA),74,2022-12-11,2025-01-24,Preis / Wettbewerb,0
K0355,Klein,C28 Maschinenbau,C (10-49 MA),71,2017-09-19,,,0
K0356,Klein,C20 Chemie / Farben,D (<10 MA),74,2019-05-21,,,0
K0357,Klein,G47 Einzelhandel / E-Commerce,C (10-49 MA),97,2021-12-12,,,0
K0358,Klein,F/G23 Baustoffhandel,D (<10 MA),75,2025-05-19,,,0
K0359,Klein,C27 Elektro / Elektronik,C (10-49 MA),74,2016-06-07,,,0
K0360,Klein,C31 Möbel / Einrichtung,C (10-49 MA),71,2021-06-14,,,0
K0361,Klein,C20 Chemie / Farben,D (<10 MA),74,2025-04-07,,,0
K0362,Klein,C25 Metallverarbeitung,D (<10 MA),71,2017-11-02,,,0
K0363,Klein,C28 Maschinenbau,D (<10 MA),74,2021-02-25,,,0
K0364,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),74,2019-01-29,,,0
K0365,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),73,2022-01-23,,,0
K0366,Klein,G47 Einzelhandel / E-Commerce,C (10-49 MA),73,2025-07-10,,,0
K0367,Klein,C28 Maschinenbau,D (<10 MA),74,2020-04-23,,,0
K0368,Klein,C28 Maschinenbau,D (<10 MA),71,2015-08-13,2025-07-08,Insolvenz,0
K0369,Klein,G46 Großhandel Konsumgüter,D (<10 MA),74,2023-08-16,,,0
K0370,Klein,F/G23 Baustoffhandel,D (<10 MA),74,2021-11-01,,,0
K0371,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),69,2022-07-02,,,0
K0372,Klein,C28 Maschinenbau,C (10-49 MA),74,2019-07-25,,,0
K0373,Klein,C27 Elektro / Elektronik,C (10-49 MA),73,2018-12-15,,,0
K0374,Klein,C28 Maschinenbau,D (<10 MA),74,2022-09-30,,,0
K0375,Klein,G46 Großhandel Konsumgüter,D (<10 MA),74,2025-10-14,,,0
K0376,Klein,G47 Einzelhandel / E-Commerce,C (10-49 MA),74,2025-04-14,,,0
K0377,Klein,F/G23 Baustoffhandel,D (<10 MA),74,2015-03-10,,,0
K0378,Klein,C29 Automotive-Zulieferer,D (<10 MA),71,2017-09-29,2025-03-02,Insolvenz,0
K0379,Klein,F/G23 Baustoffhandel,D (<10 MA),71,2020-01-24,,,0
K0380,Klein,C27 Elektro / Elektronik,D (<10 MA),74,2020-12-16,,,0
K0381,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),74,2019-04-07,,,0
K0382,Klein,F/G23 Baustoffhandel,C (10-49 MA),74,2015-08-13,,,0
K0383,Klein,F/G23 Baustoffhandel,C (10-49 MA),74,2015-04-27,,,0
K0384,Klein,C28 Maschinenbau,D (<10 MA),73,2015-11-18,,,0
K0385,Klein,C20 Chemie / Farben,D (<10 MA),74,2016-07-22,,,0
K0386,Klein,G46 Großhandel Konsumgüter,D (<10 MA),97,2022-11-25,,,0
K0387,Klein,C28 Maschinenbau,C (10-49 MA),71,2026-03-15,,,0
K0388,Klein,G47 Einzelhandel / E-Commerce,D (<10 MA),71,2015-12-03,,,0
K0389,Klein,C28 Maschinenbau,C (10-49 MA),73,2023-04-05,2025-12-12,Preis / Wettbewerb,0
K0390,Klein,C28 Maschinenbau,C (10-49 MA),74,2020-06-22,,,0
K0391,Klein,F/G23 Baustoffhandel,C (10-49 MA),74,2021-12-13,,,0
K0392,Klein,C25 Metallverarbeitung,D (<10 MA),74,2022-06-01,,,0
K0393,Klein,C28 Maschinenbau,D (<10 MA),97,2018-01-17,,,0
K0394,Klein,C25 Metallverarbeitung,C (10-49 MA),75,2017-01-12,,,0
K0395,Klein,C28 Maschinenbau,C (10-49 MA),73,2018-08-06,,,0
K0396,Klein,C27 Elektro / Elektronik,D (<10 MA),75,2023-06-13,,,0
K0397,Klein,C28 Maschinenbau,C (10-49 MA),75,2026-04-15,,,0
K0398,Klein,C28 Maschinenbau,D (<10 MA),73,2017-05-05,,,0
K0399,Klein,G47 Einzelhandel / E-Commerce,D (<10 MA),97,2022-12-29,,,0
K0400,Klein,C27 Elektro / Elektronik,C (10-49 MA),74,2016-09-12,,,0
K0401,Klein,C20 Chemie / Farben,D (<10 MA),74,2015-11-02,,,0
K0402,Klein,Sonstige,D (<10 MA),74,2015-05-07,,,0
K0403,Klein,G47 Einzelhandel / E-Commerce,D (<10 MA),97,2023-02-27,,,0
K0404,Klein,F/G23 Baustoffhandel,D (<10 MA),69,2023-09-30,,,0
K0405,Klein,F/G23 Baustoffhandel,C (10-49 MA),74,2025-02-06,,,0
K0406,Klein,Sonstige,D (<10 MA),74,2022-06-24,,,0
K0407,Klein,G46 Großhandel Konsumgüter,D (<10 MA),75,2020-03-21,2026-06-26,Preis / Wettbewerb,0
K0408,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),75,2017-06-29,,,0
K0409,Klein,C29 Automotive-Zulieferer,D (<10 MA),97,2021-11-03,2024-03-06,Insolvenz,0
K0410,Klein,C20 Chemie / Farben,C (10-49 MA),74,2019-11-02,2025-09-17,Preis / Wettbewerb,0
K0411,Klein,G47 Einzelhandel / E-Commerce,D (<10 MA),71,2015-10-04,,,0
K0412,Klein,C25 Metallverarbeitung,C (10-49 MA),73,2016-05-03,,,0
K0413,Klein,Sonstige,D (<10 MA),74,2020-09-28,,,0
K0414,Klein,C29 Automotive-Zulieferer,C (10-49 MA),74,2017-03-29,,,0
K0415,Klein,C28 Maschinenbau,D (<10 MA),71,2019-02-12,,,0
K0416,Klein,Sonstige,D (<10 MA),74,2017-08-26,,,0
K0417,Klein,C31 Möbel / Einrichtung,D (<10 MA),74,2019-10-24,,,0
K0418,Klein,F/G23 Baustoffhandel,C (10-49 MA),73,2022-05-09,,,0
K0419,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),71,2021-07-22,,,0
K0420,Klein,C27 Elektro / Elektronik,C (10-49 MA),74,2018-12-29,,,0
K0421,Klein,F/G23 Baustoffhandel,D (<10 MA),75,2025-09-22,,,0
K0422,Klein,C28 Maschinenbau,D (<10 MA),71,2015-05-03,,,0
K0423,Klein,C20 Chemie / Farben,C (10-49 MA),69,2015-01-01,,,0
K0424,Klein,C25 Metallverarbeitung,C (10-49 MA),97,2026-01-02,,,0
K0425,Klein,C25 Metallverarbeitung,D (<10 MA),73,2023-07-12,,,0
K0426,Klein,G47 Einzelhandel / E-Commerce,D (<10 MA),74,2016-01-31,,,0
K0427,Klein,Sonstige,C (10-49 MA),97,2020-04-27,,,0
K0428,Klein,C28 Maschinenbau,C (10-49 MA),97,2023-05-27,,,0
K0429,Klein,C31 Möbel / Einrichtung,C (10-49 MA),71,2023-01-11,,,0
K0430,Klein,C31 Möbel / Einrichtung,C (10-49 MA),74,2019-08-10,,,0
K0431,Klein,C25 Metallverarbeitung,C (10-49 MA),75,2019-07-30,,,0
K0432,Klein,C20 Chemie / Farben,C (10-49 MA),74,2020-09-21,,,0
K0433,Klein,C28 Maschinenbau,D (<10 MA),75,2022-12-03,,,0
K0434,Klein,F/G23 Baustoffhandel,D (<10 MA),73,2022-12-30,,,0
K0435,Klein,F/G23 Baustoffhandel,D (<10 MA),71,2016-02-17,,,0
K0436,Klein,C25 Metallverarbeitung,C (10-49 MA),75,2017-04-10,2025-05-29,Volumen eingestellt,0
K0437,Klein,C29 Automotive-Zulieferer,C (10-49 MA),74,2025-10-23,,,0
K0438,Klein,C29 Automotive-Zulieferer,D (<10 MA),74,2021-01-02,,,0
K0439,Klein,C29 Automotive-Zulieferer,D (<10 MA),71,2025-11-15,,,0
K0440,Klein,C29 Automotive-Zulieferer,C (10-49 MA),74,2020-12-25,2026-01-11,Preis / Wettbewerb,0
K0441,Klein,F/G23 Baustoffhandel,C (10-49 MA),71,2018-10-04,,,0
K0442,Klein,C28 Maschinenbau,D (<10 MA),75,2022-08-11,,,0
K0443,Klein,C25 Metallverarbeitung,C (10-49 MA),97,2022-05-17,,,0
K0444,Klein,C25 Metallverarbeitung,C (10-49 MA),97,2021-07-02,,,0
K0445,Klein,C31 Möbel / Einrichtung,D (<10 MA),75,2015-04-27,,,0
K0446,Klein,C27 Elektro / Elektronik,C (10-49 MA),75,2023-04-27,,,0
K0447,Klein,C29 Automotive-Zulieferer,D (<10 MA),74,2015-03-03,,,0
K0448,Klein,Sonstige,D (<10 MA),74,2026-06-29,,,0
K0449,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),74,2017-06-22,,,0
K0450,Klein,C28 Maschinenbau,D (<10 MA),75,2017-03-19,,,0
K0451,Klein,Sonstige,C (10-49 MA),97,2024-07-24,,,0
K0452,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),74,2019-04-13,,,0
K0453,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),71,2016-08-08,,,0
K0454,Klein,G46 Großhandel Konsumgüter,D (<10 MA),75,2016-03-24,,,0
K0455,Klein,C28 Maschinenbau,C (10-49 MA),69,2020-01-06,,,0
K0456,Klein,C29 Automotive-Zulieferer,C (10-49 MA),74,2019-11-09,,,0
K0457,Klein,C20 Chemie / Farben,D (<10 MA),97,2017-09-24,,,0
K0458,Klein,C29 Automotive-Zulieferer,D (<10 MA),74,2022-12-22,2025-03-02,Preis / Wettbewerb,0
K0459,Klein,Sonstige,C (10-49 MA),74,2022-09-11,,,0
K0460,Klein,C27 Elektro / Elektronik,D (<10 MA),74,2019-05-23,,,0
K0461,Klein,G47 Einzelhandel / E-Commerce,C (10-49 MA),74,2020-02-06,,,0
K0462,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),97,2015-10-28,,,0
K0463,Klein,C31 Möbel / Einrichtung,C (10-49 MA),74,2026-07-11,,,0
K0464,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),71,2024-11-21,,,0
K0465,Klein,C29 Automotive-Zulieferer,C (10-49 MA),71,2017-08-06,2025-12-19,Preis / Wettbewerb,0
K0466,Klein,F/G23 Baustoffhandel,D (<10 MA),71,2016-11-05,,,0
K0467,Klein,C25 Metallverarbeitung,D (<10 MA),74,2023-08-22,,,0
K0468,Klein,C28 Maschinenbau,C (10-49 MA),75,2015-01-27,,,0
K0469,Klein,C25 Metallverarbeitung,D (<10 MA),74,2019-11-27,,,0
K0470,Klein,C27 Elektro / Elektronik,C (10-49 MA),74,2021-12-11,,,0
K0471,Klein,G47 Einzelhandel / E-Commerce,C (10-49 MA),74,2016-08-10,,,0
K0472,Klein,C28 Maschinenbau,D (<10 MA),74,2021-05-26,,,0
K0473,Klein,G47 Einzelhandel / E-Commerce,C (10-49 MA),97,2020-11-01,,,0
K0474,Klein,C28 Maschinenbau,C (10-49 MA),71,2022-04-19,,,0
K0475,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),71,2020-06-06,,,0
K0476,Klein,G47 Einzelhandel / E-Commerce,C (10-49 MA),74,2018-03-12,,,0
K0477,Klein,Sonstige,D (<10 MA),74,2020-11-16,,,0
K0478,Klein,C29 Automotive-Zulieferer,D (<10 MA),74,2024-12-23,,,0
K0479,Klein,C20 Chemie / Farben,C (10-49 MA),74,2019-12-07,,,0
K0480,Klein,C25 Metallverarbeitung,D (<10 MA),74,2018-06-02,,,0
K0481,Klein,Sonstige,D (<10 MA),73,2021-08-22,,,0
K0482,Klein,C27 Elektro / Elektronik,D (<10 MA),69,2018-06-02,,,0
K0483,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),74,2017-03-16,,,0
K0484,Klein,C31 Möbel / Einrichtung,D (<10 MA),74,2021-05-11,,,0
K0485,Klein,G46 Großhandel Konsumgüter,D (<10 MA),74,2019-08-05,,,0
K0486,Klein,F/G23 Baustoffhandel,C (10-49 MA),71,2019-03-20,2024-09-01,Volumen eingestellt,0
K0487,Klein,G46 Großhandel Konsumgüter,D (<10 MA),97,2020-03-30,,,0
K0488,Klein,C25 Metallverarbeitung,C (10-49 MA),74,2025-04-23,,,0
K0489,Klein,G47 Einzelhandel / E-Commerce,D (<10 MA),75,2019-05-21,,,0
K0490,Klein,F/G23 Baustoffhandel,C (10-49 MA),75,2016-01-18,,,0
K0491,Klein,C28 Maschinenbau,C (10-49 MA),71,2021-12-19,,,0
K0492,Klein,C28 Maschinenbau,C (10-49 MA),74,2020-10-03,2025-08-13,Preis / Wettbewerb,0
K0493,Klein,C28 Maschinenbau,C (10-49 MA),73,2019-02-12,,,0
K0494,Klein,F/G23 Baustoffhandel,D (<10 MA),71,2023-07-23,,,0
K0495,Klein,C25 Metallverarbeitung,C (10-49 MA),74,2017-05-04,,,0
K0496,Klein,C20 Chemie / Farben,C (10-49 MA),74,2022-03-24,,,0
K0497,Klein,F/G23 Baustoffhandel,D (<10 MA),73,2022-06-22,,,0
K0498,Klein,C29 Automotive-Zulieferer,C (10-49 MA),75,2022-08-09,,,0
K0499,Klein,C28 Maschinenbau,D (<10 MA),71,2019-12-13,,,0
K0500,Klein,C20 Chemie / Farben,D (<10 MA),97,2016-11-06,,,0
K0501,Klein,G46 Großhandel Konsumgüter,D (<10 MA),71,2017-10-01,,,0
K0502,Klein,C28 Maschinenbau,C (10-49 MA),73,2018-05-06,,,0
K0503,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),75,2017-02-09,,,0
K0504,Klein,C25 Metallverarbeitung,C (10-49 MA),74,2021-10-13,,,0
K0505,Klein,C28 Maschinenbau,C (10-49 MA),74,2019-05-26,,,0
K0506,Klein,C28 Maschinenbau,D (<10 MA),74,2016-01-20,,,0
K0507,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),74,2016-08-04,,,0
K0508,Klein,F/G23 Baustoffhandel,D (<10 MA),74,2024-08-01,,,0
K0509,Klein,C29 Automotive-Zulieferer,C (10-49 MA),97,2020-05-06,,,0
K0510,Klein,C28 Maschinenbau,C (10-49 MA),97,2015-01-14,,,0
K0511,Klein,C29 Automotive-Zulieferer,D (<10 MA),74,2017-06-18,,,0
K0512,Klein,C29 Automotive-Zulieferer,C (10-49 MA),74,2020-10-21,,,0
K0513,Klein,C27 Elektro / Elektronik,C (10-49 MA),71,2017-12-05,,,0
K0514,Klein,C20 Chemie / Farben,D (<10 MA),73,2023-04-09,,,0
K0515,Klein,F/G23 Baustoffhandel,C (10-49 MA),71,2017-11-11,,,0
K0516,Klein,G47 Einzelhandel / E-Commerce,C (10-49 MA),75,2023-02-23,,,0
K0517,Klein,C25 Metallverarbeitung,D (<10 MA),74,2022-03-23,,,0
K0518,Klein,G46 Großhandel Konsumgüter,D (<10 MA),75,2023-07-31,,,0
K0519,Klein,Sonstige,C (10-49 MA),74,2016-07-31,,,0
K0520,Klein,C31 Möbel / Einrichtung,C (10-49 MA),73,2024-04-24,,,0
K0521,Klein,C20 Chemie / Farben,D (<10 MA),74,2020-12-11,,,0
K0522,Klein,F/G23 Baustoffhandel,D (<10 MA),74,2023-06-30,,,0
K0523,Klein,F/G23 Baustoffhandel,C (10-49 MA),74,2015-06-18,,,0
K0524,Klein,C28 Maschinenbau,D (<10 MA),97,2025-06-08,,,0
K0525,Klein,Sonstige,D (<10 MA),74,2015-05-02,,,0
K0526,Klein,G46 Großhandel Konsumgüter,D (<10 MA),71,2015-02-26,,,0
K0527,Klein,C31 Möbel / Einrichtung,C (10-49 MA),74,2018-09-13,,,0
K0528,Klein,C27 Elektro / Elektronik,C (10-49 MA),75,2015-08-06,,,0
K0529,Klein,C28 Maschinenbau,D (<10 MA),74,2020-04-12,,,0
K0530,Klein,F/G23 Baustoffhandel,D (<10 MA),74,2016-02-21,,,0
K0531,Klein,C20 Chemie / Farben,C (10-49 MA),71,2022-01-08,,,0
K0532,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),74,2015-05-05,,,0
K0533,Klein,Sonstige,C (10-49 MA),74,2019-11-16,,,0
K0534,Klein,C25 Metallverarbeitung,D (<10 MA),69,2022-10-31,,,0
K0535,Klein,C29 Automotive-Zulieferer,C (10-49 MA),74,2016-02-22,,,0
K0536,Klein,F/G23 Baustoffhandel,D (<10 MA),74,2025-06-26,,,0
K0537,Klein,C28 Maschinenbau,C (10-49 MA),71,2017-07-20,,,0
K0538,Klein,C29 Automotive-Zulieferer,D (<10 MA),71,2021-05-12,,,0
K0539,Klein,G47 Einzelhandel / E-Commerce,D (<10 MA),71,2016-11-30,2024-07-24,Volumen eingestellt,0
K0540,Klein,G47 Einzelhandel / E-Commerce,C (10-49 MA),97,2019-12-25,2026-02-08,Insolvenz,0
K0541,Klein,C27 Elektro / Elektronik,D (<10 MA),73,2024-08-25,,,0
K0542,Klein,F/G23 Baustoffhandel,C (10-49 MA),75,2021-09-04,,,0
K0543,Klein,C28 Maschinenbau,C (10-49 MA),74,2024-11-03,,,0
K0544,Klein,G47 Einzelhandel / E-Commerce,D (<10 MA),74,2024-04-24,,,0
K0545,Klein,Sonstige,C (10-49 MA),74,2016-09-03,,,0
K0546,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),74,2019-06-21,,,0
K0547,Klein,C25 Metallverarbeitung,C (10-49 MA),74,2018-11-29,,,0
K0548,Klein,C27 Elektro / Elektronik,C (10-49 MA),74,2022-02-15,,,0
K0549,Klein,C20 Chemie / Farben,C (10-49 MA),75,2023-10-20,,,0
K0550,Klein,C20 Chemie / Farben,D (<10 MA),75,2015-03-10,,,0
K0551,Klein,C27 Elektro / Elektronik,C (10-49 MA),74,2016-06-09,,,0
K0552,Klein,C20 Chemie / Farben,D (<10 MA),74,2023-03-18,,,0
K0553,Klein,G46 Großhandel Konsumgüter,D (<10 MA),74,2017-01-12,,,0
K0554,Klein,C29 Automotive-Zulieferer,D (<10 MA),71,2023-07-15,,,0
K0555,Klein,C28 Maschinenbau,C (10-49 MA),74,2023-11-15,,,0
K0556,Klein,C28 Maschinenbau,C (10-49 MA),74,2020-10-11,,,0
K0557,Klein,C28 Maschinenbau,D (<10 MA),74,2022-10-14,,,0
K0558,Klein,C25 Metallverarbeitung,C (10-49 MA),75,2019-03-31,,,0
K0559,Klein,Sonstige,C (10-49 MA),75,2017-10-25,,,0
K0560,Klein,C28 Maschinenbau,C (10-49 MA),74,2023-08-15,,,0
K0561,Klein,G47 Einzelhandel / E-Commerce,C (10-49 MA),71,2016-07-31,,,0
K0562,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),97,2024-04-22,,,0
K0563,Klein,Sonstige,D (<10 MA),69,2017-06-02,2025-01-18,Preis / Wettbewerb,0
K0564,Klein,C29 Automotive-Zulieferer,D (<10 MA),71,2026-04-29,,,0
K0565,Klein,F/G23 Baustoffhandel,C (10-49 MA),97,2018-08-12,,,0
K0566,Klein,C29 Automotive-Zulieferer,C (10-49 MA),74,2025-01-23,,,0
K0567,Klein,Sonstige,D (<10 MA),74,2015-02-08,,,0
K0568,Klein,C28 Maschinenbau,D (<10 MA),97,2023-10-18,2024-06-13,Preis / Wettbewerb,0
K0569,Klein,C25 Metallverarbeitung,D (<10 MA),74,2023-06-28,,,0
K0570,Klein,C29 Automotive-Zulieferer,D (<10 MA),69,2018-07-23,,,0
K0571,Klein,C31 Möbel / Einrichtung,C (10-49 MA),74,2026-03-27,,,0
K0572,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),74,2024-08-18,,,0
K0573,Klein,C25 Metallverarbeitung,D (<10 MA),74,2020-10-31,,,0
K0574,Klein,G47 Einzelhandel / E-Commerce,C (10-49 MA),74,2017-08-01,,,0
K0575,Klein,C25 Metallverarbeitung,C (10-49 MA),74,2021-06-06,,,0
K0576,Klein,C31 Möbel / Einrichtung,D (<10 MA),71,2016-11-02,,,0
K0577,Klein,G47 Einzelhandel / E-Commerce,D (<10 MA),71,2022-04-12,,,0
K0578,Klein,C25 Metallverarbeitung,D (<10 MA),74,2023-05-18,,,0
K0579,Klein,G46 Großhandel Konsumgüter,D (<10 MA),69,2023-03-18,,,0
K0580,Klein,G47 Einzelhandel / E-Commerce,D (<10 MA),71,2020-11-05,,,0
K0581,Klein,C28 Maschinenbau,C (10-49 MA),74,2018-05-01,,,0
K0582,Klein,C29 Automotive-Zulieferer,D (<10 MA),74,2022-11-06,,,0
K0583,Klein,C20 Chemie / Farben,C (10-49 MA),73,2021-04-09,,,0
K0584,Klein,F/G23 Baustoffhandel,D (<10 MA),74,2020-06-17,,,0
K0585,Klein,C20 Chemie / Farben,C (10-49 MA),71,2022-09-12,,,0
K0586,Klein,C28 Maschinenbau,C (10-49 MA),75,2015-05-25,,,0
K0587,Klein,C25 Metallverarbeitung,C (10-49 MA),74,2023-04-22,,,0
K0588,Klein,C28 Maschinenbau,C (10-49 MA),71,2017-11-18,,,0
K0589,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),74,2015-04-03,,,0
K0590,Klein,G47 Einzelhandel / E-Commerce,D (<10 MA),97,2019-05-01,,,0
K0591,Klein,G47 Einzelhandel / E-Commerce,C (10-49 MA),74,2021-03-04,,,0
K0592,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),74,2018-10-31,,,0
K0593,Klein,G47 Einzelhandel / E-Commerce,D (<10 MA),74,2019-08-01,,,0
K0594,Klein,G46 Großhandel Konsumgüter,D (<10 MA),74,2017-10-04,,,0
K0595,Klein,G46 Großhandel Konsumgüter,D (<10 MA),71,2025-09-21,,,0
K0596,Klein,C20 Chemie / Farben,C (10-49 MA),73,2021-01-18,,,0
K0597,Klein,G46 Großhandel Konsumgüter,D (<10 MA),74,2021-08-16,,,0
K0598,Klein,F/G23 Baustoffhandel,D (<10 MA),71,2026-04-25,,,0
K0599,Klein,C29 Automotive-Zulieferer,D (<10 MA),74,2023-10-03,,,0
K0600,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),97,2022-09-14,2025-09-12,Standortverlagerung,0
K0601,Klein,G47 Einzelhandel / E-Commerce,C (10-49 MA),74,2019-08-23,2025-03-23,Preis / Wettbewerb,0
K0602,Klein,C29 Automotive-Zulieferer,C (10-49 MA),74,2025-06-04,,,0
K0603,Klein,C25 Metallverarbeitung,C (10-49 MA),69,2018-08-15,,,0
K0604,Klein,G47 Einzelhandel / E-Commerce,D (<10 MA),71,2023-12-26,,,0
K0605,Klein,Sonstige,C (10-49 MA),74,2017-10-14,,,0
K0606,Klein,C31 Möbel / Einrichtung,C (10-49 MA),73,2024-10-27,,,0
K0607,Klein,C27 Elektro / Elektronik,C (10-49 MA),73,2020-07-13,,,0
K0608,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),74,2025-08-06,,,0
K0609,Klein,C27 Elektro / Elektronik,C (10-49 MA),74,2022-12-30,,,0
K0610,Klein,G47 Einzelhandel / E-Commerce,C (10-49 MA),74,2020-11-02,2026-03-28,Preis / Wettbewerb,0
K0611,Klein,C28 Maschinenbau,C (10-49 MA),74,2020-11-04,,,0
K0612,Klein,C27 Elektro / Elektronik,C (10-49 MA),97,2015-01-26,,,0
K0613,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),75,2015-11-10,,,0
K0614,Klein,C29 Automotive-Zulieferer,C (10-49 MA),75,2016-08-25,,,0
K0615,Klein,C29 Automotive-Zulieferer,D (<10 MA),74,2015-06-14,2025-02-25,Preis / Wettbewerb,0
K0616,Klein,Sonstige,D (<10 MA),75,2020-01-14,,,0
K0617,Klein,G46 Großhandel Konsumgüter,D (<10 MA),75,2020-04-04,,,0
K0618,Klein,C25 Metallverarbeitung,C (10-49 MA),75,2015-11-29,,,0
K0619,Klein,C28 Maschinenbau,C (10-49 MA),73,2015-12-02,,,0
K0620,Klein,G47 Einzelhandel / E-Commerce,D (<10 MA),74,2023-02-24,,,0
K0621,Klein,C29 Automotive-Zulieferer,C (10-49 MA),74,2019-02-07,,,0
K0622,Klein,G46 Großhandel Konsumgüter,D (<10 MA),73,2015-06-08,,,0
K0623,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),71,2022-10-30,,,0
K0624,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),73,2019-03-23,,,0
K0625,Klein,C28 Maschinenbau,C (10-49 MA),74,2024-05-27,,,0
